name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;342;0;480;3051;1060;3051;1037;0
header;263;134;263;168;1885;168;1885;134
B;732;328;732;355;747;355;747;328
D;730;374;730;399;745;399;745;374
B;712;419;712;445;740;445;740;419
C;872;423;872;449;895;449;895;423
B;874;775;874;801;882;801;882;775
A;891;796;891;801;897;801;897;796
C;855;1698;855;1724;883;1724;883;1698
B;711;1821;711;1847;740;1847;740;1821
A;819;1896;819;1896;819;1896;819;1896
A;886;2153;886;2158;892;2158;892;2153
A;864;2401;864;2427;871;2427;871;2401
A;881;2423;881;2429;885;2429;885;2423
A;541;2667;541;2668;543;2668;543;2667
