name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;857;0;834;3053;916;3053;1261;0
header;263;45;263;86;1844;86;1844;45
A;1205;461;1205;464;1209;464;1209;461
A;1010;668;1010;668;1011;668;1011;668
A;1075;731;1075;736;1078;736;1078;731
A;1048;731;1048;733;1049;733;1049;731
A;1124;731;1124;733;1125;733;1125;731
A;1096;774;1096;774;1096;774;1096;774
A;1157;875;1157;878;1161;878;1161;875
A;1080;876;1080;876;1080;876;1080;876
B;851;881;851;907;884;907;884;881
A;1135;945;1135;947;1137;947;1137;945
A;1029;1291;1029;1297;1032;1297;1032;1291
